"name","degree_centrality","betweenness_centrality","closeness_centrality","eigenvector_centrality","transitivity"
"ACME",3,0.00076608784473953,0.377952755905512,0.285112738518239,0.666666666666667
"CJNG Comando la Mancha",1,0,0.358208955223881,0.187397848131064,0
"Caballeros Templarios",1,0,0.195918367346939,0.00155279687145735,0
"Cártel Jalisco Nueva Generación (CJNG)",27,0.262257405515832,0.551724137931034,1,0.0056980056980057
"Cártel Los Epitacio",1,0,1,0,0
"Cártel Nueva Plaza",1,0,0.431034482758621,0,0
"Cártel Pura Gente Nueva",1,0,0.195918367346939,0.00162179095358169,0
"Cártel de Caborca",2,0.000255362614913177,1,0,0
"Cártel de Los Alemanes",1,0,0.235294117647059,0.00833841663252111,0
"Cártel de Los Tequileros",1,0,0.358208955223881,0.187397848131064,0
"Cártel de Sinaloa",20,0.0676710929519918,0.735294117647059,0,0.0210526315789474
"Cártel de Sinaloa / Los Chapitos",5,0.0229826353421859,0.409836065573771,0,0
"Cártel del Abuelo",2,0.0643513789581205,0.39344262295082,0.19451998262492,0
"Cártel del Golfo",3,0.0176200204290092,0.305732484076433,0.0444957971272399,0
"Cártel del Noreste",4,0.046220633299285,0.313725490196078,0.044559458028183,0
"Cártel del Poniente o La Laguna",1,0,0.431034482758621,0,0
"Cárteles Unidos",2,0.000255362614913177,1,0,0
"Célula liderada por El Balín",1,0,0.358208955223881,0.187397848131064,0
"El Jardinero",1,0,0.358208955223881,0.187397848131064,0
"El Pechugas",1,0,0.282352941176471,0.052584361013998,0
"El Robert",1,0,0.282352941176471,0.0525843610139981,0
"Francisco Javier Arvizo Márquez, El Jaguar",1,0,0.431034482758621,2.00775395324885e-17,0
"Gente Nueva",5,0.0257916241062308,0.555555555555556,0,0.4
"Güero Fresa",1,0,0.358208955223881,0.187397848131064,0
"Juan L. (El Moco), líder huachicolero",1,0,0.666666666666667,0,0
"La Banda del Bucanas",1,0,0.358208955223881,0.187397848131064,0
"La Emperatriz",1,0,0.431034482758621,1.00387697662443e-17,0
"La Guera",1,0,0.431034482758621,0,0
"La Línea",1,0,1,0,0
"La Nueva Familia Michoacana",5,0.0464759959141982,0.242424242424242,0.00828609766303883,0
"La Reina del Sur, Cecilia “V""",1,0,0.666666666666667,0,0
"La Unión Tepito",6,0.0572012257405516,0.390243902439024,0.280602800610715,0.0666666666666667
"Los Artistas Asesinos o Doble A",1,0,0.431034482758621,0,0
"Los Durangos",1,0,0.358208955223881,0.187397848131064,0
"Los Dámasos/Fuerzas especiales Dámaso",1,0,0.358208955223881,0.187397848131065,0
"Los Guerreros",1,0,0.358208955223881,0.187397848131064,0
"Los Jaguares",3,0,0.490196078431373,0,1
"Los Lobos",3,0,0.490196078431373,0,1
"Los Mexicles",1,0,0.431034482758621,0,0
"Los Mojarras",2,0.0120020429009193,0.285714285714286,0.054498227222569,0
"Los Ninis",1,0,0.294117647058824,0,0
"Los Rodolfos",1,0,0.358208955223881,0.187397848131064,0
"Los Rusos",1,0,0.431034482758621,0,0
"Los Salgueiro",2,0,0.480769230769231,0,1
"Los Siete Demonios",1,0,0.431034482758621,0,0
"Los Talibanes",4,0.103932584269663,0.421052631578947,0.212425027944474,0
"MZ",1,0,0.431034482758621,0,0
"Mazatlecos",1,0,1,0,0
"Nuevo Cártel de Juárez",1,0,0.358208955223881,0.187397848131064,0
"Paco Pacas",1,0,0.195918367346939,0.00155279687145733,0
"Tercera Acción Destructiva (3AD)",1,0,0.282352941176471,0.0525843610139981,0
"Zetas Vieja Escuela",3,0.0176200204290092,0.305732484076433,0.0444957971272398,0
"Cártel de Tláhuac",2,0,0.360902255639098,0.240827361804137,1
"Los Cabos",1,0,0.358208955223881,0.187397848131064,0
"Fuerza Anti-Unión Tepito",1,0,0.358208955223881,0.187397848131064,0
"U o la UVA",1,0,0.358208955223881,0.187397848131064,0
"La Anti-Unión o La Rosa Nueva",1,0,0.358208955223881,0.187397848131064,0
"Los Cuinis",1,0,0.358208955223881,0.187397848131064,0
"La Unión León",1,0,0.358208955223881,0.187397848131064,0
"Los Tlacos (Cartel de la Sierra)",1,0,0.358208955223881,0.187397848131064,0
"Cártel Zicuirán Nueva Generación",1,0,0.358208955223881,0.187397848131064,0
"Los Colombianos",1,0,0.358208955223881,0.187397848131064,0
"Los Metros",1,0,0.358208955223881,0.187397848131064,0
"Los Piña",1,0,0.358208955223881,0.187397848131064,0
"Cártel de Oaxaca",1,0,1,0,0
"Los Zetas",2,0.0120020429009193,0.242424242424242,0.00865426668318755,0
"La Barredora 24/7",1,0,0.666666666666667,0,0
"Los Páez",1,0,0.666666666666667,0,0
"Los R4",1,0,0.431034482758621,0,0
"La banda de El Tigre",1,0,0.431034482758621,0,0
"Los Erres",1,0,0.431034482758621,0,0
"Los Cabrera",1,0,0.431034482758621,0,0
"Cártel de Santa Rosa de Lima",1,0,0.431034482758621,0,0
"Los Salazares",1,0,0.431034482758621,0,0
"Célula liderada por Alfonso Arzate García, El Aquiles",1,0,0.294117647058824,0,0
"Los Chimales",1,0,0.294117647058824,0,0
"Durangos/Cazadores",1,0,0.294117647058824,0,0
"Los Viagras",2,0.054902962206333,0.30188679245283,0.0380054230338594,0
"Los Pelones",2,0.000510725229826353,0.24,0.0166768332650422,0
"Grupo Sombra",1,0,0.235294117647059,0.00833841663252111,0
"Los Treviño",1,0,0.24,0.00835034654836795,0
"Tropa del Infierno",1,0,0.24,0.00835034654836796,0
"Los Ántrax",1,0,0.666666666666667,0,0
"Mando Sur Gente Nueva",1,0,0.666666666666667,0,0
"El Loco Téllez",2,0.000255362614913177,1,0,0
"Cártel de Juárez",1,0,1,0,0
"Los Blancos de Troya",1,0,0.195918367346939,0.00155279687145734,0
"Los Mayas",1,0,0.195918367346939,0.00155279687145732,0
"Sindicato Libertad",1,0,0.223255813953488,0.0102128505084672,0
"Cártel de los Beltrán Leyva",1,0,1,0,0
